zapytania_na_sekunde,historia_danych,ttl_dni,typ_przetwarzania,typ_zapytan,skalowalnosc,chmura,architektura
1176,1,46,1,1,1,0,0
910,1,53,1,1,1,0,0
1344,1,95,2,2,1,1,0
1180,1,99,0,0,2,1,1
1145,0,60,2,0,2,1,1
1094,0,97,1,2,2,1,0
171,1,63,0,0,0,1,0
516,0,85,1,1,2,0,0
1288,0,32,0,0,0,0,1
380,0,87,2,1,1,1,1
137,1,33,0,2,2,0,0
1446,1,67,0,0,0,1,1
1173,0,18,0,2,0,1,1
921,1,25,0,0,2,0,0
180,1,95,0,1,1,0,0
1382,1,54,1,2,1,0,0
819,1,58,0,0,1,1,0
393,1,67,0,1,0,0,0
1487,0,46,2,2,0,1,1
855,1,24,0,2,0,1,0
435,0,32,2,0,0,1,1
1265,0,47,1,0,1,0,1
1005,1,86,0,0,2,0,0
326,0,23,2,1,0,1,1
1234,0,66,2,0,0,0,1
509,0,27,1,2,1,0,0
1387,1,2,0,2,2,0,0
71,1,90,0,0,2,1,0
302,0,17,2,0,1,1,1
797,1,33,0,2,1,0,0
906,1,9,2,1,2,1,0
524,1,43,0,0,0,0,0
1132,1,48,2,0,2,0,0
560,0,39,0,2,1,0,1
749,0,93,1,0,0,0,1
1025,1,42,0,1,0,1,0
239,1,26,0,2,1,1,0
1007,0,99,1,0,1,1,1
736,0,50,0,2,1,0,1
1007,1,25,1,0,2,0,0
612,0,24,0,0,2,0,1
1317,1,13,2,0,0,1,1
881,1,60,2,1,1,0,0
1204,0,7,0,1,0,1,0
696,0,57,0,2,0,1,1
70,1,36,0,0,0,1,1
890,1,45,2,0,0,1,1
216,0,20,0,1,1,1,0
1347,1,65,2,0,0,1,0
437,0,8,1,1,1,0,0
650,1,16,2,0,1,0,1
365,0,14,2,2,2,1,1
63,0,76,1,0,1,1,1
291,0,87,2,0,2,0,1
826,1,15,0,1,1,1,0
1419,1,92,0,0,1,1,1
614,0,98,2,0,1,0,1
947,1,66,0,1,2,1,0
1413,0,32,2,2,2,1,0
141,0,87,0,2,0,1,0
1440,1,63,0,1,2,0,0
1005,1,86,2,1,2,0,0
558,0,51,0,1,2,0,1
825,1,25,2,1,2,1,0
84,1,58,0,1,0,1,0
255,0,63,0,2,2,0,0
1154,0,62,1,2,1,1,0
1461,1,22,1,1,1,1,0
1075,0,58,2,0,2,1,1
1071,0,58,1,1,2,1,0
1463,1,86,2,0,1,1,0
615,0,49,1,1,1,0,0
1179,0,52,0,1,0,1,1
752,1,42,2,2,1,0,0
451,1,70,2,0,1,1,0
779,0,15,0,0,2,0,1
211,0,54,2,2,1,1,0
251,1,60,2,2,0,0,0
1045,1,97,1,2,1,1,0
319,1,8,2,2,2,0,0
865,1,53,0,0,2,1,0
1344,0,60,1,0,1,0,1
505,1,5,1,1,2,1,0
1325,1,68,0,1,0,0,0
1066,0,6,0,2,0,0,0
345,1,96,1,2,1,1,0
769,0,94,2,2,1,1,1
387,1,47,1,1,1,0,0
928,1,99,0,1,2,1,0
1126,1,55,1,1,0,0,0
841,0,40,0,1,0,0,1
266,0,52,1,1,2,0,0
813,1,16,2,1,0,1,0
237,0,13,1,1,1,0,0
429,0,30,1,2,1,0,0
542,0,19,0,2,1,1,0
1114,0,17,0,2,0,1,0
1230,0,63,0,2,1,1,0
64,0,19,1,1,2,1,0
114,1,92,2,0,2,0,0
570,1,58,0,1,0,0,0
1417,0,55,0,0,2,0,1
1202,1,90,1,2,2,0,0
697,1,90,0,1,0,1,0
1136,1,62,2,2,1,0,0
1212,1,23,2,1,1,0,0
642,0,9,0,2,1,1,1
441,1,12,0,0,0,0,0
468,1,1,1,0,2,0,0
338,0,58,2,0,1,0,1
428,0,1,2,1,1,0,1
280,1,34,0,0,0,0,1
